id,category_id,dept_id,value,period,create_time
80,8,104,86.5,202508,2026-02-21 17:35:39
81,1,101,88.0,202109,2026-02-21 17:35:39
82,2,102,89.5,202210,2026-02-21 17:35:39
83,3,103,91.0,202311,2026-02-21 17:35:39
84,4,104,89.0,202412,2026-02-21 17:35:39
85,5,101,90.5,202501,2026-02-21 17:35:39
86,6,102,92.0,202102,2026-02-21 17:35:39
87,7,103,93.5,202203,2026-02-21 17:35:39
88,8,104,95.0,202304,2026-02-21 17:35:39
89,1,101,96.5,202405,2026-02-21 17:35:39
90,2,102,53.0,202506,2026-02-21 17:35:39
91,3,103,51.0,202107,2026-02-21 17:35:39
92,4,104,52.5,202208,2026-02-21 17:35:39
93,5,101,54.0,202309,2026-02-21 17:35:39
94,6,102,55.5,202410,2026-02-21 17:35:39
95,7,103,57.0,202511,2026-02-21 17:35:39
96,8,104,58.5,202112,2026-02-21 17:35:39
97,1,101,60.0,202201,2026-02-21 17:35:39
98,2,102,58.0,202302,2026-02-21 17:35:39
99,3,103,59.5,202403,2026-02-21 17:35:39
100,4,104,61.0,202504,2026-02-21 17:35:39
101,5,101,62.5,202105,2026-02-21 17:35:39
102,6,102,64.0,202206,2026-02-21 17:35:39
103,7,103,65.5,202307,2026-02-21 17:35:39
104,8,104,67.0,202408,2026-02-21 17:35:39
105,1,101,65.0,202509,2026-02-21 17:35:39
106,2,102,66.5,202110,2026-02-21 17:35:39
107,3,103,68.0,202211,2026-02-21 17:35:39
108,4,104,69.5,202312,2026-02-21 17:35:39
109,5,101,71.0,202401,2026-02-21 17:35:39
110,6,102,72.5,202502,2026-02-21 17:35:39
111,7,103,74.0,202103,2026-02-21 17:35:39
112,8,104,72.0,202204,2026-02-21 17:35:39
113,1,101,73.5,202305,2026-02-21 17:35:39
114,2,102,75.0,202406,2026-02-21 17:35:39
115,3,103,76.5,202507,2026-02-21 17:35:39
116,4,104,78.0,202108,2026-02-21 17:35:39
117,5,101,79.5,202209,2026-02-21 17:35:39
118,6,102,81.0,202310,2026-02-21 17:35:39
119,7,103,79.0,202411,2026-02-21 17:35:39
120,8,104,80.5,202512,2026-02-21 17:35:39
121,1,101,82.0,202101,2026-02-21 17:35:39
122,2,102,83.5,202202,2026-02-21 17:35:39
123,3,103,85.0,202303,2026-02-21 17:35:39
124,4,104,86.5,202404,2026-02-21 17:35:39
125,5,101,88.0,202505,2026-02-21 17:35:39
126,6,102,86.0,202106,2026-02-21 17:35:39
127,7,103,87.5,202207,2026-02-21 17:35:39
128,8,104,89.0,202308,2026-02-21 17:35:39
129,1,101,90.5,202409,2026-02-21 17:35:39
130,2,102,92.0,202510,2026-02-21 17:35:39
131,3,103,93.5,202111,2026-02-21 17:35:39
132,4,104,95.0,202212,2026-02-21 17:35:39
133,5,101,93.0,202301,2026-02-21 17:35:39
134,6,102,94.5,202402,2026-02-21 17:35:39
135,7,103,51.0,202503,2026-02-21 17:35:39
136,8,104,52.5,202104,2026-02-21 17:35:39
137,1,101,54.0,202205,2026-02-21 17:35:39
138,2,102,55.5,202306,2026-02-21 17:35:39
139,3,103,57.0,202407,2026-02-21 17:35:39
140,4,104,55.0,202508,2026-02-21 17:35:39
141,5,101,56.5,202109,2026-02-21 17:35:39
142,6,102,58.0,202210,2026-02-21 17:35:39
143,7,103,59.5,202311,2026-02-21 17:35:39
144,8,104,61.0,202412,2026-02-21 17:35:39
145,1,101,62.5,202501,2026-02-21 17:35:39
146,2,102,64.0,202102,2026-02-21 17:35:39
147,3,103,62.0,202203,2026-02-21 17:35:39
148,4,104,63.5,202304,2026-02-21 17:35:39
149,5,101,65.0,202405,2026-02-21 17:35:39
150,6,102,66.5,202506,2026-02-21 17:35:39
151,7,103,68.0,202107,2026-02-21 17:35:39
152,8,104,69.5,202208,2026-02-21 17:35:39
153,1,101,71.0,202309,2026-02-21 17:35:39
154,2,102,69.0,202410,2026-02-21 17:35:39
155,3,103,70.5,202511,2026-02-21 17:35:39
156,4,104,72.0,202112,2026-02-21 17:35:39
157,5,101,73.5,202201,2026-02-21 17:35:39
158,6,102,75.0,202302,2026-02-21 17:35:39
159,7,103,76.5,202403,2026-02-21 17:35:39
160,8,104,78.0,202504,2026-02-21 17:35:39
161,1,101,76.0,202105,2026-02-21 17:35:39
162,2,102,77.5,202206,2026-02-21 17:35:39
163,3,103,79.0,202307,2026-02-21 17:35:39
164,4,104,80.5,202408,2026-02-21 17:35:39
165,5,101,82.0,202509,2026-02-21 17:35:39
166,6,102,83.5,202110,2026-02-21 17:35:39
167,7,103,85.0,202211,2026-02-21 17:35:39
168,8,104,83.0,202312,2026-02-21 17:35:39
169,1,101,84.5,202401,2026-02-21 17:35:39
170,2,102,86.0,202502,2026-02-21 17:35:39
171,3,103,87.5,202103,2026-02-21 17:35:39
172,4,104,89.0,202204,2026-02-21 17:35:39
173,5,101,90.5,202305,2026-02-21 17:35:39
174,6,102,92.0,202406,2026-02-21 17:35:39
175,7,103,90.0,202507,2026-02-21 17:35:39
176,8,104,91.5,202108,2026-02-21 17:35:39
177,1,101,93.0,202209,2026-02-21 17:35:39
178,2,102,94.5,202310,2026-02-21 17:35:39
179,3,103,96.0,202411,2026-02-21 17:35:39
180,4,104,52.5,202512,2026-02-21 17:35:39
181,5,101,54.0,202101,2026-02-21 17:35:39
182,6,102,52.0,202202,2026-02-21 17:35:39
183,7,103,53.5,202303,2026-02-21 17:35:39
184,8,104,55.0,202404,2026-02-21 17:35:39
185,1,101,56.5,202505,2026-02-21 17:35:39
186,2,102,58.0,202106,2026-02-21 17:35:39
187,3,103,59.5,202207,2026-02-21 17:35:39
188,4,104,61.0,202308,2026-02-21 17:35:39
189,5,101,59.0,202409,2026-02-21 17:35:39
190,6,102,60.5,202510,2026-02-21 17:35:39
191,7,103,62.0,202111,2026-02-21 17:35:39
192,8,104,63.5,202212,2026-02-21 17:35:39
193,1,101,65.0,202301,2026-02-21 17:35:39
194,2,102,66.5,202402,2026-02-21 17:35:39
195,3,103,68.0,202503,2026-02-21 17:35:39
196,4,104,66.0,202104,2026-02-21 17:35:39
197,5,101,67.5,202205,2026-02-21 17:35:39
198,6,102,69.0,202306,2026-02-21 17:35:39
199,7,103,70.5,202407,2026-02-21 17:35:39
200,8,104,72.0,202508,2026-02-21 17:35:39
201,1,101,73.5,202109,2026-02-21 17:35:39
202,2,102,75.0,202210,2026-02-21 17:35:39
203,3,103,73.0,202311,2026-02-21 17:35:39
204,4,104,74.5,202412,2026-02-21 17:35:39
205,5,101,76.0,202501,2026-02-21 17:35:39
206,6,102,77.5,202102,2026-02-21 17:35:39
207,7,103,79.0,202203,2026-02-21 17:35:39
208,8,104,80.5,202304,2026-02-21 17:35:39
209,1,101,82.0,202405,2026-02-21 17:35:39
210,2,102,80.0,202506,2026-02-21 17:35:39
211,3,103,81.5,202107,2026-02-21 17:35:39
212,4,104,83.0,202208,2026-02-21 17:35:39
213,5,101,84.5,202309,2026-02-21 17:35:39
214,6,102,86.0,202410,2026-02-21 17:35:39
215,7,103,87.5,202511,2026-02-21 17:35:39
216,8,104,89.0,202112,2026-02-21 17:35:39
217,1,101,87.0,202201,2026-02-21 17:35:39
218,2,102,88.5,202302,2026-02-21 17:35:39
219,3,103,90.0,202403,2026-02-21 17:35:39
220,4,104,91.5,202504,2026-02-21 17:35:39
221,5,101,93.0,202105,2026-02-21 17:35:39
222,6,102,94.5,202206,2026-02-21 17:35:39
223,7,103,96.0,202307,2026-02-21 17:35:39
224,8,104,94.0,202408,2026-02-21 17:35:39
225,1,101,50.5,202509,2026-02-21 17:35:39
226,2,102,52.0,202110,2026-02-21 17:35:39
227,3,103,53.5,202211,2026-02-21 17:35:39
228,4,104,55.0,202312,2026-02-21 17:35:39
229,5,101,56.5,202401,2026-02-21 17:35:39
230,6,102,58.0,202502,2026-02-21 17:35:39
231,7,103,56.0,202103,2026-02-21 17:35:39
232,8,104,57.5,202204,2026-02-21 17:35:39
233,1,101,59.0,202305,2026-02-21 17:35:39
234,2,102,60.5,202406,2026-02-21 17:35:39
235,3,103,62.0,202507,2026-02-21 17:35:39
236,4,104,63.5,202108,2026-02-21 17:35:39
237,5,101,65.0,202209,2026-02-21 17:35:39
238,6,102,63.0,202310,2026-02-21 17:35:39
239,7,103,64.5,202411,2026-02-21 17:35:39
240,8,104,66.0,202512,2026-02-21 17:35:39
241,1,101,67.5,202101,2026-02-21 17:35:39
242,2,102,69.0,202202,2026-02-21 17:35:39
243,3,103,70.5,202303,2026-02-21 17:35:39
244,4,104,72.0,202404,2026-02-21 17:35:39
245,5,101,70.0,202505,2026-02-21 17:35:39
246,6,102,71.5,202106,2026-02-21 17:35:39
247,7,103,73.0,202207,2026-02-21 17:35:39
248,8,104,74.5,202308,2026-02-21 17:35:39
249,1,101,76.0,202409,2026-02-21 17:35:39
250,2,102,77.5,202510,2026-02-21 17:35:39
251,3,103,79.0,202111,2026-02-21 17:35:39
252,4,104,77.0,202212,2026-02-21 17:35:39
253,5,101,78.5,202301,2026-02-21 17:35:39
254,6,102,80.0,202402,2026-02-21 17:35:39
255,7,103,81.5,202503,2026-02-21 17:35:39
256,8,104,83.0,202104,2026-02-21 17:35:39
257,1,101,84.5,202205,2026-02-21 17:35:39
258,2,102,86.0,202306,2026-02-21 17:35:39
259,3,103,84.0,202407,2026-02-21 17:35:39
260,4,104,85.5,202508,2026-02-21 17:35:39
261,5,101,87.0,202109,2026-02-21 17:35:39
262,6,102,88.5,202210,2026-02-21 17:35:39
263,7,103,90.0,202311,2026-02-21 17:35:39
264,8,104,91.5,202412,2026-02-21 17:35:39
265,1,101,93.0,202501,2026-02-21 17:35:39
266,2,102,91.0,202102,2026-02-21 17:35:39
267,3,103,92.5,202203,2026-02-21 17:35:39
268,4,104,94.0,202304,2026-02-21 17:35:39
269,5,101,95.5,202405,2026-02-21 17:35:39
270,6,102,52.0,202506,2026-02-21 17:35:39
271,7,103,53.5,202107,2026-02-21 17:35:39
272,8,104,55.0,202208,2026-02-21 17:35:39
273,1,101,53.0,202309,2026-02-21 17:35:39
274,2,102,54.5,202410,2026-02-21 17:35:39
275,3,103,56.0,202511,2026-02-21 17:35:39
276,4,104,57.5,202112,2026-02-21 17:35:39
277,5,101,59.0,202201,2026-02-21 17:35:39
278,6,102,60.5,202302,2026-02-21 17:35:39
279,7,103,62.0,202403,2026-02-21 17:35:39
280,8,104,60.0,202504,2026-02-21 17:35:39
281,1,101,61.5,202105,2026-02-21 17:35:39
282,2,102,63.0,202206,2026-02-21 17:35:39
283,3,103,64.5,202307,2026-02-21 17:35:39
284,4,104,66.0,202408,2026-02-21 17:35:39
285,5,101,67.5,202509,2026-02-21 17:35:39
286,6,102,69.0,202110,2026-02-21 17:35:39
287,7,103,67.0,202211,2026-02-21 17:35:39
288,8,104,68.5,202312,2026-02-21 17:35:39
289,1,101,70.0,202401,2026-02-21 17:35:39
290,2,102,71.5,202502,2026-02-21 17:35:39
291,3,103,73.0,202103,2026-02-21 17:35:39
292,4,104,74.5,202204,2026-02-21 17:35:39
293,5,101,76.0,202305,2026-02-21 17:35:39
294,6,102,74.0,202406,2026-02-21 17:35:39
295,7,103,75.5,202507,2026-02-21 17:35:39
296,8,104,77.0,202108,2026-02-21 17:35:39
297,1,101,78.5,202209,2026-02-21 17:35:39
298,2,102,80.0,202310,2026-02-21 17:35:39
299,3,103,81.5,202411,2026-02-21 17:35:39
300,4,104,83.0,202512,2026-02-21 17:35:39
301,5,101,81.0,202101,2026-02-21 17:35:39
302,6,102,82.5,202202,2026-02-21 17:35:39
303,7,103,84.0,202303,2026-02-21 17:35:39
304,8,104,85.5,202404,2026-02-21 17:35:39
305,1,101,87.0,202505,2026-02-21 17:35:39
306,2,102,88.5,202106,2026-02-21 17:35:39
307,3,103,90.0,202207,2026-02-21 17:35:39
308,4,104,88.0,202308,2026-02-21 17:35:39
309,5,101,89.5,202409,2026-02-21 17:35:39
310,6,102,91.0,202510,2026-02-21 17:35:39
311,7,103,92.5,202111,2026-02-21 17:35:39
312,8,104,94.0,202212,2026-02-21 17:35:39
313,1,101,95.5,202301,2026-02-21 17:35:39
314,2,102,97.0,202402,2026-02-21 17:35:39
315,3,103,50.0,202503,2026-02-21 17:35:39
316,4,104,51.5,202104,2026-02-21 17:35:39
317,5,101,53.0,202205,2026-02-21 17:35:39
318,6,102,54.5,202306,2026-02-21 17:35:39
319,7,103,56.0,202407,2026-02-21 17:35:39
320,8,104,57.5,202508,2026-02-21 17:35:39
321,1,101,59.0,202109,2026-02-21 17:35:39
322,2,102,57.0,202210,2026-02-21 17:35:39
323,3,103,58.5,202311,2026-02-21 17:35:39
324,4,104,60.0,202412,2026-02-21 17:35:39
325,5,101,61.5,202501,2026-02-21 17:35:39
326,6,102,63.0,202102,2026-02-21 17:35:39
327,7,103,64.5,202203,2026-02-21 17:35:39
328,8,104,66.0,202304,2026-02-21 17:35:39
329,1,101,64.0,202405,2026-02-21 17:35:39
330,2,102,65.5,202506,2026-02-21 17:35:39
331,3,103,67.0,202107,2026-02-21 17:35:39
332,4,104,68.5,202208,2026-02-21 17:35:39
333,5,101,70.0,202309,2026-02-21 17:35:39
334,6,102,71.5,202410,2026-02-21 17:35:39
335,7,103,73.0,202511,2026-02-21 17:35:39
336,8,104,71.0,202112,2026-02-21 17:35:39
337,1,101,72.5,202201,2026-02-21 17:35:39
338,2,102,74.0,202302,2026-02-21 17:35:39
339,3,103,75.5,202403,2026-02-21 17:35:39
340,4,104,77.0,202504,2026-02-21 17:35:39
341,5,101,78.5,202105,2026-02-21 17:35:39
342,6,102,80.0,202206,2026-02-21 17:35:39
343,7,103,78.0,202307,2026-02-21 17:35:39
344,8,104,79.5,202408,2026-02-21 17:35:39
345,1,101,81.0,202509,2026-02-21 17:35:39
346,2,102,82.5,202110,2026-02-21 17:35:39
347,3,103,84.0,202211,2026-02-21 17:35:39
348,4,104,85.5,202312,2026-02-21 17:35:39
349,5,101,87.0,202401,2026-02-21 17:35:39
350,6,102,85.0,202502,2026-02-21 17:35:39
351,7,103,86.5,202103,2026-02-21 17:35:39
352,8,104,88.0,202204,2026-02-21 17:35:39
353,1,101,89.5,202305,2026-02-21 17:35:39
354,2,102,91.0,202406,2026-02-21 17:35:39
355,3,103,92.5,202507,2026-02-21 17:35:39
356,4,104,94.0,202108,2026-02-21 17:35:39
357,5,101,92.0,202209,2026-02-21 17:35:39
358,6,102,93.5,202310,2026-02-21 17:35:39
359,7,103,95.0,202411,2026-02-21 17:35:39
360,8,104,51.5,202512,2026-02-21 17:35:39
361,1,101,53.0,202101,2026-02-21 17:35:39
362,2,102,54.5,202202,2026-02-21 17:35:39
363,3,103,56.0,202303,2026-02-21 17:35:39
364,4,104,54.0,202404,2026-02-21 17:35:39
365,5,101,55.5,202505,2026-02-21 17:35:39
366,6,102,57.0,202106,2026-02-21 17:35:39
367,7,103,58.5,202207,2026-02-21 17:35:39
368,8,104,60.0,202308,2026-02-21 17:35:39
369,1,101,61.5,202409,2026-02-21 17:35:39
370,2,102,63.0,202510,2026-02-21 17:35:39
371,3,103,61.0,202111,2026-02-21 17:35:39
372,4,104,62.5,202212,2026-02-21 17:35:39
373,5,101,64.0,202301,2026-02-21 17:35:39
374,6,102,65.5,202402,2026-02-21 17:35:39
375,7,103,67.0,202503,2026-02-21 17:35:39
376,8,104,68.5,202104,2026-02-21 17:35:39
377,1,101,70.0,202205,2026-02-21 17:35:39
378,2,102,68.0,202306,2026-02-21 17:35:39
379,3,103,69.5,202407,2026-02-21 17:35:39
380,4,104,71.0,202508,2026-02-21 17:35:39
381,5,101,72.5,202109,2026-02-21 17:35:39
382,6,102,74.0,202210,2026-02-21 17:35:39
383,7,103,75.5,202311,2026-02-21 17:35:39
384,8,104,77.0,202412,2026-02-21 17:35:39
385,1,101,75.0,202501,2026-02-21 17:35:39
386,2,102,76.5,202102,2026-02-21 17:35:39
387,3,103,78.0,202203,2026-02-21 17:35:39
388,4,104,79.5,202304,2026-02-21 17:35:39
389,5,101,81.0,202405,2026-02-21 17:35:39
390,6,102,82.5,202506,2026-02-21 17:35:39
391,7,103,84.0,202107,2026-02-21 17:35:39
392,8,104,82.0,202208,2026-02-21 17:35:39
393,1,101,83.5,202309,2026-02-21 17:35:39
394,2,102,85.0,202410,2026-02-21 17:35:39
395,3,103,86.5,202511,2026-02-21 17:35:39
396,4,104,88.0,202112,2026-02-21 17:35:39
397,5,101,89.5,202201,2026-02-21 17:35:39
398,6,102,91.0,202302,2026-02-21 17:35:39
399,7,103,89.0,202403,2026-02-21 17:35:39
400,8,104,90.5,202504,2026-02-21 17:35:39
401,1,101,92.0,202105,2026-02-21 17:35:39
402,2,102,93.5,202206,2026-02-21 17:35:39
403,3,103,95.0,202307,2026-02-21 17:35:39
404,4,104,96.5,202408,2026-02-21 17:35:39
405,5,101,53.0,202509,2026-02-21 17:35:39
406,6,102,51.0,202110,2026-02-21 17:35:39
407,7,103,52.5,202211,2026-02-21 17:35:39
408,8,104,54.0,202312,2026-02-21 17:35:39
409,1,101,55.5,202401,2026-02-21 17:35:39
410,2,102,57.0,202502,2026-02-21 17:35:39
411,3,103,58.5,202103,2026-02-21 17:35:39
412,4,104,60.0,202204,2026-02-21 17:35:39
413,5,101,58.0,202305,2026-02-21 17:35:39
414,6,102,59.5,202406,2026-02-21 17:35:39
415,7,103,61.0,202507,2026-02-21 17:35:39
416,8,104,62.5,202108,2026-02-21 17:35:39
417,1,101,64.0,202209,2026-02-21 17:35:39
418,2,102,65.5,202310,2026-02-21 17:35:39
419,3,103,67.0,202411,2026-02-21 17:35:39
420,4,104,65.0,202512,2026-02-21 17:35:39
421,5,101,66.5,202101,2026-02-21 17:35:39
422,6,102,68.0,202202,2026-02-21 17:35:39
423,7,103,69.5,202303,2026-02-21 17:35:39
424,8,104,71.0,202404,2026-02-21 17:35:39
425,1,101,72.5,202505,2026-02-21 17:35:39
426,2,102,74.0,202106,2026-02-21 17:35:39
427,3,103,72.0,202207,2026-02-21 17:35:39
428,4,104,73.5,202308,2026-02-21 17:35:39
429,5,101,75.0,202409,2026-02-21 17:35:39
430,6,102,76.5,202510,2026-02-21 17:35:39
431,7,103,78.0,202111,2026-02-21 17:35:39
432,8,104,79.5,202212,2026-02-21 17:35:39
433,1,101,81.0,202301,2026-02-21 17:35:39
434,2,102,79.0,202402,2026-02-21 17:35:39
435,3,103,80.5,202503,2026-02-21 17:35:39
436,4,104,82.0,202104,2026-02-21 17:35:39
437,5,101,83.5,202205,2026-02-21 17:35:39
438,6,102,85.0,202306,2026-02-21 17:35:39
439,7,103,86.5,202407,2026-02-21 17:35:39
440,8,104,88.0,202508,2026-02-21 17:35:39
441,1,101,86.0,202109,2026-02-21 17:35:39
442,2,102,87.5,202210,2026-02-21 17:35:39
443,3,103,89.0,202311,2026-02-21 17:35:39
444,4,104,90.5,202412,2026-02-21 17:35:39
445,5,101,92.0,202501,2026-02-21 17:35:39
446,6,102,93.5,202102,2026-02-21 17:35:39
447,7,103,95.0,202203,2026-02-21 17:35:39
448,8,104,93.0,202304,2026-02-21 17:35:39
449,1,101,94.5,202405,2026-02-21 17:35:39
450,2,102,51.0,202506,2026-02-21 17:35:39
451,3,103,52.5,202107,2026-02-21 17:35:39
452,4,104,54.0,202208,2026-02-21 17:35:39
453,5,101,55.5,202309,2026-02-21 17:35:39
454,6,102,57.0,202410,2026-02-21 17:35:39
455,7,103,55.0,202511,2026-02-21 17:35:39
456,8,104,56.5,202112,2026-02-21 17:35:39
457,1,101,58.0,202201,2026-02-21 17:35:39
458,2,102,59.5,202302,2026-02-21 17:35:39
459,3,103,61.0,202403,2026-02-21 17:35:39
460,4,104,62.5,202504,2026-02-21 17:35:39
461,5,101,64.0,202105,2026-02-21 17:35:39
462,6,102,62.0,202206,2026-02-21 17:35:39
463,7,103,63.5,202307,2026-02-21 17:35:39
464,8,104,65.0,202408,2026-02-21 17:35:39
465,1,101,66.5,202509,2026-02-21 17:35:39
466,2,102,68.0,202110,2026-02-21 17:35:39
467,3,103,69.5,202211,2026-02-21 17:35:39
468,4,104,71.0,202312,2026-02-21 17:35:39
469,5,101,69.0,202401,2026-02-21 17:35:39
470,6,102,70.5,202502,2026-02-21 17:35:39
471,7,103,72.0,202103,2026-02-21 17:35:39
472,8,104,73.5,202204,2026-02-21 17:35:39
473,1,101,75.0,202305,2026-02-21 17:35:39
474,2,102,76.5,202406,2026-02-21 17:35:39
475,3,103,78.0,202507,2026-02-21 17:35:39
476,4,104,76.0,202108,2026-02-21 17:35:39
477,5,101,77.5,202209,2026-02-21 17:35:39
478,6,102,79.0,202310,2026-02-21 17:35:39
479,7,103,80.5,202411,2026-02-21 17:35:39
480,8,104,82.0,202512,2026-02-21 17:35:39
481,1,101,83.5,202101,2026-02-21 17:35:39
482,2,102,85.0,202202,2026-02-21 17:35:39
483,3,103,83.0,202303,2026-02-21 17:35:39
484,4,104,84.5,202404,2026-02-21 17:35:39
485,5,101,86.0,202505,2026-02-21 17:35:39
486,6,102,87.5,202106,2026-02-21 17:35:39
487,7,103,89.0,202207,2026-02-21 17:35:39
488,8,104,90.5,202308,2026-02-21 17:35:39
489,1,101,92.0,202409,2026-02-21 17:35:39
490,2,102,90.0,202510,2026-02-21 17:35:39
491,3,103,91.5,202111,2026-02-21 17:35:39
492,4,104,93.0,202212,2026-02-21 17:35:39
493,5,101,94.5,202301,2026-02-21 17:35:39
494,6,102,96.0,202402,2026-02-21 17:35:39
495,7,103,52.5,202503,2026-02-21 17:35:39
496,8,104,54.0,202104,2026-02-21 17:35:39
497,1,101,52.0,202205,2026-02-21 17:35:39
498,2,102,53.5,202306,2026-02-21 17:35:39
499,3,103,55.0,202407,2026-02-21 17:35:39
500,4,104,56.5,202508,2026-02-21 17:35:39
501,5,101,58.0,202109,2026-02-21 17:35:39
502,6,102,59.5,202210,2026-02-21 17:35:39
503,7,103,61.0,202311,2026-02-21 17:35:39
504,8,104,59.0,202412,2026-02-21 17:35:39
505,1,101,60.5,202501,2026-02-21 17:35:39
506,2,102,62.0,202102,2026-02-21 17:35:39
507,3,103,63.5,202203,2026-02-21 17:35:39
508,4,104,65.0,202304,2026-02-21 17:35:39
509,5,101,66.5,202405,2026-02-21 17:35:39
510,6,102,68.0,202506,2026-02-21 17:35:39
511,7,103,66.0,202107,2026-02-21 17:35:39
512,8,104,67.5,202208,2026-02-21 17:35:39
513,1,101,69.0,202309,2026-02-21 17:35:39
514,2,102,70.5,202410,2026-02-21 17:35:39
515,3,103,72.0,202511,2026-02-21 17:35:39
516,4,104,73.5,202112,2026-02-21 17:35:39
517,5,101,75.0,202201,2026-02-21 17:35:39
518,6,102,73.0,202302,2026-02-21 17:35:39
519,7,103,74.5,202403,2026-02-21 17:35:39
520,8,104,76.0,202504,2026-02-21 17:35:39
521,1,101,77.5,202105,2026-02-21 17:35:39
522,2,102,79.0,202206,2026-02-21 17:35:39
523,3,103,80.5,202307,2026-02-21 17:35:39
524,4,104,82.0,202408,2026-02-21 17:35:39
525,5,101,80.0,202509,2026-02-21 17:35:39
526,6,102,81.5,202110,2026-02-21 17:35:39
527,7,103,83.0,202211,2026-02-21 17:35:39
528,8,104,84.5,202312,2026-02-21 17:35:39
529,1,101,86.0,202401,2026-02-21 17:35:39
530,2,102,87.5,202502,2026-02-21 17:35:39
531,3,103,89.0,202103,2026-02-21 17:35:39
532,4,104,87.0,202204,2026-02-21 17:35:39
533,5,101,88.5,202305,2026-02-21 17:35:39
534,6,102,90.0,202406,2026-02-21 17:35:39
535,7,103,91.5,202507,2026-02-21 17:35:39
536,8,104,93.0,202108,2026-02-21 17:35:39
537,1,101,94.5,202209,2026-02-21 17:35:39
